DATA,NONFINANCIAL,FINANCIAL
2017 Feb 1,943268,4321179
2017 Jan 1,938643,4309861
2016 Dec 1,963679,4291086
2016 Nov 1,974552,4323137
2016 Oct 1,977487,4298566
2016 Sep 1,975554,4286384
2016 Aug 1,955396,4288053
2016 Jul 1,952468,4312895
2016 Jun 1,963288,4311275
2016 May 1,971452,4308818
2016 Apr 1,976695,4294022
2016 Mar 1,981739,4290471
2016 Feb 1,951354,4302887
2016 Jan 1,939059,4286762
2015 Dec 1,935168,4264791
2015 Nov 1,964025,4307634
2015 Oct 1,944244,4284565
2015 Sep 1,953309,4281240
2015 Aug 1,949765,4295635
2015 Jul 1,965622,4318176
2015 Jun 1,975534,4309045
2015 May 1,998633,4303640
2015 Apr 1,995454,4304012
2015 Mar 1,1012419,4309042
2015 Feb 1,976782,4313182
2015 Jan 1,960077,4300775
2014 Dec 1,959437,4291746
2014 Nov 1,982865,4276540
2014 Oct 1,973571,4274735
2014 Sep 1,986636,4288571
2014 Aug 1,963307,4282094
2014 Jul 1,972798,4302541
2014 Jun 1,994369,4316265
2014 May 1,984785,4318726
2014 Apr 1,990203,4329221
2014 Mar 1,977627,4336767
2014 Feb 1,968027,4345261
2014 Jan 1,948147,4369040
2013 Dec 1,983295,4345203
2013 Nov 1,1027760,4371074
2013 Oct 1,1020957,4377026
2013 Sep 1,1051282,4393464
2013 Aug 1,1037676,4399501
2013 Jul 1,1133881,4429335
2013 Jun 1,1189011,4446367
2013 May 1,1202206,4460617
2013 Apr 1,1201753,4478305
2013 Mar 1,1208692,4502925
2013 Feb 1,1213220,4505251
2013 Jan 1,1196008,4523235
2012 Dec 1,1174120,4535727
2012 Nov 1,1190322,4636749
2012 Oct 1,1199577,4638368
2012 Sep 1,1208234,4652260
2012 Aug 1,1164788,4671017
2012 Jul 1,1184026,4706019
2012 Jun 1,1150745,4700352
2012 May 1,1146122,4705090
2012 Apr 1,1139455,4704275
2012 Mar 1,1147702,4699243
